regstat2;regstat7;regstat13
2414.5;2386.8;917.4
1207.1;1910.6;444.8
589.5;1033.9;3415.6
3005.2;744.4;851.2
562.9;1794;9562.4
1766.6;1094.8;3054.2
866.3;726.3;1017.4
765.5;637.5;8384
515.6;319.9;3102.8
1945.6;794.6;961.9
741.6;3147.5;411
721.1;2884.2;567.6
870.1;582.1;2074.3
306.7;2135.8;796.5
1861.8;5145.6;536.3
1559.9;827.2;1228
495;2035.6;866.8
1076.6;1661.7;299.3
2664.7;207.2;647
639.1;1012.5;300.1
1274.4;1410.2;433.9
1456.9;1692.6;10033.8
669.4;3027.4;4923.2
511.8;1023.9;164.1
492.9;833.3;3310.7
254;1474.2;7639.8
885.5;690.8;10648.4
319.6;615.4;8660.4
2754.4;446.3;1398.1
517.7;558.3;452.8
2255.4;4066.1;3287.3
396.9;165.2;5654.9
2190.7;2660.4;715.3
1807.6;844.8;3687.5
1766.1;509.4;827.3
2282.9;1668.3;3482.7
1210.7;1080.1;5488
1448.3;1730.5;511
1242.9;384.4;4620.3
1635.7;1519.6;6576.3
1017;2529.6;797.1
1647.6;1612.7;427.5
374.2;2068.6;378.7
1675.7;484.9;748.7
1722.5;3384;734.5
834.7;464.6;172.3
1706.6;1276.9;828.5
1882.8;545.3;640
1806.3;545.5;216.5
2264.8;431.4;237.2
1160.9;1662;495.1
2457.4;1701.7;340.9
325.6;2508.4;1009.9
855.4;2179.9;242.1
1478.8;322.9;633.2
1100.7;2312.9;227.3
1544.6;2106.8;232
819.3;1810.8;10550.9
718.3;1710.9;9090.6
1642.8;2870.7;346.7
449;2244.7;1476.9
1170.8;2819.7;5984.7
771.8;1379.8;3138.3
1900.8;2378.8;8315.5
692.5;364.3;3663.3
657.2;2688.1;648.3
854.9;237.7;5030.7
659.1;770.2;781
202.7;1354.4;5185.8
948.7;2140;4859.3
2702;2612.7;316
440.3;474.5;806.5
1227.4;1949.3;281.7
580;891.3;683.2
2698.6;1220.1;770.7
2304.1;1271.6;1233.6
418.7;610.2;587.5
1178.7;2109.1;219.5
575.2;279.7;618.3
798;1196.5;1016.6
2435.4;757.6;952.5
445;1340.2;399
1648.4;2346.2;229.8
2369.2;329.5;242.8
1521.5;1055.2;10410.7
1173;498.8;8183.1
1678.2;772.6;580.3
1649.3;249.5;1388.9
1635.3;2769.3;6263.6
651.5;1949.4;287.9
1603.3;415.2;8220.7
1691.8;330;1853.5
1605.9;2506.5;5184.3
1072.4;1259.6;3394.9
1040.5;3033.1;607.1
1538.1;722;3317.8
1816.1;2728.6;4993.1
1974.9;1428.8;5380.1
2185.9;2950.7;6560.9
697.6;774.6;748.5
1623.1;460.8;642.9
1496.9;1662.1;724.7
153.2;863.5;711.7
1621.1;279.5;408.6
2278.1;2740.2;621.9
2149.1;1650.6;6248.2
1663.6;742.3;2241.3
1416.9;404.8;7462.4
1470.2;925;591.1
804.3;924.8;793.2
430.2;596.6;961.8
1319.5;2044.8;2090.7
957.5;898.1;438.9
1033.5;2946.3;973.8
1619.6;1510.3;206.6
1436.9;2320.6;285.5
799.1;2436.2;226.4
1212.5;741.3;1105.2
695.6;2330.8;242.5
807.5;156.9;535.1
385.9;217.2;5930.9
1877.3;660.7;1304.6
727.7;292.9;8152.5
650.7;1916.8;264.5
597.6;589.2;1927.9
865.7;1321.9;5055.1
2532.6;1760.9;4687.7
598.8;463.7;3276
1115.8;1828;561.9
1117.2;2447.4;6803.7
3243.8;2869.8;5262.7
375.9;740.7;580.5
524.9;523.3;692.7
2260.7;2662.4;2676.7
2727.1;1326.8;590.5
1024.5;1561.1;642.4
319.6;382.2;2140.9
2377.2;1296;354.1
329.5;784.6;7620.8
706.9;1052.9;226.4
1576;834.1;6500.9
359.7;260.2;651.2
1334.8;786.5;948.5
1255.1;3538;492
1854.2;3058.7;1971.9
1265.8;1783.9;1119.5
511.7;1520.5;961.8
1590.9;1101.5;328.6
1487.7;1015;2881.1
1645.1;948.7;168
1502.4;1066.3;1559.6
886.4;790.5;1448.2
928.7;3346.2;286.3
1770.3;634.2;302.2
2076.7;2524.7;176.8
1499;4053.7;898.5
2088.5;831.9;1217.6
1605.8;1694.1;1968.1
1494.6;2625.6;4630.6
588.9;573.3;1142.4
2284.5;509.8;11436.5
1836;397.1;5763.6
2557;1599.1;6858.8
1651.8;466.1;495.6
1246.2;1908.9;2255.8
1451.5;1159.3;565.6
805.7;1116.5;2815.2
2497.4;323.9;582.7
1482.3;1251.4;874.7
656;3330.3;9365.5
1054;1581.9;6575.4
287.3;522.7;8153.5
1646.9;1748.1;1951.3
1549.6;2276.1;603.8
1413.1;2259.4;2643
174.6;2150.8;2742.5
875.5;1708.3;227.8
630.4;964.6;1527.5
997.9;2111.1;2956
308.9;2193.1;1583.5
710.3;2409.3;1431.4
1659.8;2864.9;642.6
676.7;2729.5;1178.3
2450.5;1250.7;460.3
578.8;2443.8;2043.8
537.4;1294.6;10885.4
995.6;1223.5;6456.1
1065.9;2378.6;6089.4
812.7;2798.6;3337.8
2225.1;1872.4;432
3347.7;259.4;3186.6
319.5;1133.9;524.8
2707.4;2159.3;6784.7
1000.7;661.6;8411.4
458.3;2124.5;808
2419.2;420.8;538.2
1318.1;647.9;2783.3
179.4;1005.8;1078.4
1219.5;605.1;1423.3
644.6;735.4;3283.4
162.9;549.4;1586.3
425.7;1901;1366.9
1092;168.2;5766.5
265;2638.1;5040.1
1620.4;1854.4;1040.1
1536.1;2259.1;157
1176.8;2535.6;482.6
377.6;1239.5;259.5
1338.5;975.9;537.8
1465;2592.9;1128
779.9;3314;684.5
1483.3;249.4;555.4
733.8;1725.9;6500.1
1682.8;774.1;13151.3
1967.4;840.8;12465.6
2117.6;2771.9;399.7
1605.2;833.9;2762.2
1465.5;722.6;6908.4
1398;2161.2;3246.1
1891.2;577.9;738.7
1536;575.3;1169.5
1786.2;3144.8;589.3
1543;2055.7;483.5
522.1;2013.4;3373.4
2470.8;2331.7;1535.9
611;603.5;5590
935.2;269;1210.9
487.9;1857.6;5445.4
1434.3;1298.8;4859.9
2365;955.7;3706.2
1615.6;2410.3;426.4
1434;4374.8;361.7
1438.9;575.3;5365.3
338.2;2370.7;319.5
1681;1991.7;519.8
400.1;1957;727.8
623.5;269.7;518
1217.1;2369.3;2017.9
2206.8;2609;895.1
378.5;1589.8;246.4
896.2;1179.7;749.6
1365.2;3169.8;1847.7
825.4;651.1;10802.9
410.7;885.7;3066.9
1182.4;1942.6;349.9
894.1;383.6;2863.4
641.7;1221.4;393.4
213.1;2787.3;416.9
2321;2108.7;492.3
633.1;1467.2;9985.5
481.5;762.9;2662.8
508;1502.3;431.7
2248.9;985.9;1429.6
750.5;2658.3;4998.7
3225.7;1895.1;9275.6
2688;314.2;505.1
2447.8;985.9;9220.1
1244.1;709.1;330.3
907.9;1056.1;7489.8
253.3;1395.1;333.8
388.4;335.5;5743.2
1155.5;881.9;2237
1732.6;1405.8;421.6
577.3;1066.5;672.6
999.5;365.5;891.8
1409.3;756.2;241.2
336.9;398.5;750.4
1202.9;409.2;552.7
683.6;616.1;1527.3
1070.9;393.5;444.6
1360.2;346.7;153.4
1675.1;3307.1;552.7
532.7;970.4;14881.6
249.8;444.2;297.4
1523;1033.7;3113.7
1631.9;976.4;454.2
1812.3;1412.5;1417.3
2021.6;4653.6;9022.4
1515.1;1740.7;4949.4
1884.9;2631.9;5464
1900.2;1816.7;482.3
396.8;1726.9;5373.6
1476.1;768.6;261.6
1800.5;473.2;7633.6
2427.3;332.5;8534.9
1367.3;412.9;5555.7
443.7;3513.8;1907.1
2314.7;532.4;672.5
1589.4;1050.7;414.2
1197.1;2081.7;478
1421;1691.3;1419.2
1059.6;1570.8;724.1
432.2;1712.7;457.2
1678.9;2267.9;734
612.2;390.6;284.7
1441.2;2037.4;1250.5
2074.4;3370.3;419.8
2396.1;467.4;7399.4
1919.5;2248;1675.6
1325.9;2390.9;207.8
1632.9;1647.8;2958.9
586.8;2955.3;1207.3
1446.3;2995.2;8924.5
1099.4;355.3;273
1009.8;1116.3;1209.3
1366.7;1698.4;5909
1143.6;1094.2;5292.8
1449.8;2790.5;1315.9
1687;2145.5;456.2
571.1;1812;6881.5
2458.6;584.3;7957.8
912.4;2702.7;5754.7
390.2;931.1;1757.2
3058.2;3154;380.2
684.6;529.9;619.4
1205.4;1993.8;347.9
378.6;1266.4;1277.1
2389.1;1173.5;350.4
1061.7;2591.1;622.4
293.1;2053.8;1209.1
1347.7;1393.4;1551
1575.5;759.4;1054.6
1347.3;692;2257.9
944.7;2685.9;154.1
499.7;3132.1;1049
202;512.2;596.6
1306.3;2810.4;340.7
1315;1607;8315.1
985.7;392.9;1163.3
340.8;2049.5;3022.5
1668.7;2186.9;2888
1401.9;2989.4;201.6
1670.8;2011.4;1167.1
2048;2310.8;6163.2
1512.8;656.5;312.4
1559.8;323.4;5045.4
596.1;789.4;6918.6
1393.4;1189.2;422
1694.1;369.5;6423.9
1647.9;1730.6;1937.3
1353.8;2211.2;7570.4
2323.2;789;827.7
1492;212.7;242.1
209.8;3911.4;1675.9
2125.1;3140.5;322.1
375.2;1574.1;6306.2
1501.9;2237.6;1175.3
358.3;600.6;5795.2
